molecule,cas,best_match_url,results,query_url,query_type,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
EPINASTINE,80012-43-7,https://drugs.ncats.io/drug/Q13WX941EF,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""80012%2043%207"")",ONLY CAS,US Approved Rx 2011,ANDA090870,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090870,US Previously Marketed 2003,ELESTAT by ALLERGAN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021565,Allergic conjunctivitis,Approved
EPINEPHRINE,51-43-4,https://drugs.ncats.io/drug/YKH834O4BH,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""51%2043%204"")",ONLY CAS,US Approved OTC ,21 CFR 346.12(c) anorectal:vasoconstrictor epinephrine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec346-12.xml,US Previously Marketed 1901,Adrenalin by Parke Davis,https://babel.hathitrust.org/cgi/pt?id=mdp.39015064545372&view=1up&seq=65,Miosis; Anaphylaxis,Approved; Approved
EPIRUBICIN,56420-45-2,https://drugs.ncats.io/drug/3Z8479ZZ5X,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""56420%2045%202"")",ONLY CAS,US Approved Rx 2009,ANDA090163,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090163,US Approved Rx 1999,NDA050778,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050778,Primary breast cancer,Approved
EPLERENONE,107724-20-9,https://drugs.ncats.io/drug/6995V82D0B,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""107724%2020%209"")",ONLY CAS,US Approved Rx 2018,ANDA208283,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208283,US Approved Rx 2002,NDA021437,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021437,Hypertension,Approved
EPOETIN ALFA,11096-26-7,https://drugs.ncats.io/drug/64FS3BFH5W,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""11096%2026%207"")",ONLY CAS,US Approved Rx 2018,BLA125545,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125545,US Approved Rx 1989,BLA103234,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103234,,
EPOETIN ZETA,11096-26-7,https://drugs.ncats.io/drug/64FS3BFH5W,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""11096%2026%207"")",ONLY CAS,US Approved Rx 2018,BLA125545,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125545,US Approved Rx 1989,BLA103234,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103234,,
EPOPROSTENOL,35121-78-9,https://drugs.ncats.io/drug/DCR9Z582X0,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""35121%2078%209"")",ONLY CAS,US Approved Rx 2008,NDA022260,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022260,US Approved Rx 1995,NDA020444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020444,Primary pulmonary hypertension,Approved
EPROSARTAN,133040-01-4,https://drugs.ncats.io/drug/2KH13Z0S0Y,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""133040%2001%204"")",ONLY CAS,US Previously Marketed 2001,TEVETEN HCT by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021268,US Previously Marketed 1997,TEVETEN by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020738,Hypertension,Approved
EPTIFIBATIDE,188627-80-7,https://drugs.ncats.io/drug/NA8320J834,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""188627%2080%207"")",ONLY CAS,US Approved Rx 2015,ANDA206127,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206127,US Previously Marketed 1998,INTEGRILIN by MSD SUB MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020718,Acute coronary syndrome,Approved
EQUISETUM ARVENSE,71011-23-9,https://drugs.ncats.io/drug/9bafb98f,2,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""71011%2023%209"")%20AND%20(root_names_name:""%5EEQUISETUM%20ARVENSE"")",APPROXIMATE NAME,,,,,,,,
ERAVACYCLINE,1207283-85-9,https://drugs.ncats.io/drug/07896928ZC,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1207283%2085%209"")",ONLY CAS,US Approved Rx 2018,NDA211109,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211109,US Approved Rx 2018,NDA211109,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211109,Intra-abdominal infections,Approved
ERENUMAB,1582205-90-0,https://drugs.ncats.io/drug/I5I8VB78VT,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1582205%2090%200"")",ONLY CAS,US Approved Rx 2018,BLA761077,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761077,US Approved Rx 2018,BLA761077,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761077,,
ERGOCALCIFEROL,50-14-6,https://drugs.ncats.io/drug/VS041H42XC,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""50%2014%206"")",ONLY CAS,US Approved Rx 1941,NDA003444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003444,US Approved Rx 1941,NDA003444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003444,Hypoparathyroidism; Familial hypophosphatemia; Refractory rickets,Approved; Approved; Approved
ERGOMETRINE,60-79-7,https://drugs.ncats.io/drug/WH41D8433D,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""60%2079%207"")",ONLY CAS,US Previously Marketed 1959,TACE 25 MG ERGONOVINE by MERRELL,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33453.pdf,US Previously Marketed 1959,TACE 25 MG ERGONOVINE by MERRELL,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33453.pdf,Postpartum haemorrhage; Postabortion haemorrhage,Approved; Approved
ERGOTAMINE,379-79-3,https://drugs.ncats.io/drug/MRU5XH3B48,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""379%2079%203"")",ONLY CAS,US Approved Rx 1983,ANDA086557,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=086557,US Previously Marketed 1948,CAFERGOT by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006620,Migraine; Migraine; Migraine,Approved; Approved; Approved
ERIBULIN,253128-41-5,https://drugs.ncats.io/drug/LR24G6354G,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""253128%2041%205"")",ONLY CAS,US Approved Rx 2010,NDA201532,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201532,US Approved Rx 2010,NDA201532,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201532,Breast Cancer,Approved
ERLOTINIB,183321-74-6,https://drugs.ncats.io/drug/J4T82NDH7E,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""183321%2074%206"")",ONLY CAS,US Approved Rx 2014,ANDA091002,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091002,US Previously Marketed 2004,TARCEVA by OSI PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021743,"Locally advanced or metastatic non-small cell lung cancer; Locally advanced, unresectable or metastatic pancreatic cancer",Approved; Approved
ERTAPENEM,153832-46-3,https://drugs.ncats.io/drug/G32F6EID2H,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""153832%2046%203"")",ONLY CAS,US Approved Rx 2018,ANDA208790,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208790,US Approved Rx 2001,NDA021337,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021337,"Complicated intra-abdominal infections; Complicated skin and skin structure infections; Community acquired pneumonia; Complicated urinary tract infections including pyelonephritis; Acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections",Approved; Approved; Approved; Approved; Approved
ERTUGLIFLOZIN,1210344-57-2,https://drugs.ncats.io/drug/6C282481IP,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1210344%2057%202"")",ONLY CAS,US Approved Rx 2017,NDA209806,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209806,US Approved Rx 2017,NDA209806,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209806,Type 2 diabetes mellitus; type 2 diabetes mellitus,Phase III; Approved
ERYTHROMYCIN,643-22-1,https://drugs.ncats.io/drug/LXW024X05M,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""643%2022%201"")",ONLY CAS,US Approved Rx 2020,ANDA212015,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212015,US Previously Marketed 1952,Ilotycin by Lilly,DeHaen 1940-1975 NMEs,Acne; Pneumonia; Bacterial endocarditis; Staphylococcal dermatitis; Listeriosis; Diphtheria; Respiratory tract infections; Skin and skin structure infections; Erythrasma; Diphtheria; Skin and skin structure infections; Respiratory tract infections; Listeriosis; Erythrasma,Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved
ESCITALOPRAM,128196-01-0,https://drugs.ncats.io/drug/4O4S742ANY,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""128196%2001%200"")",ONLY CAS,US Approved Rx 2002,NDA021323,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021323,US Approved Rx 2002,NDA021323,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021323,Generalized anxiety disorder; Major depressive disorder,Approved; Approved
ESKETAMINE,33643-46-8,https://drugs.ncats.io/drug/50LFG02TXD,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""33643%2046%208"")",ONLY CAS,US Approved Rx 2019,NDA211243,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211243,Possibly Marketed Outside US 1970,NDA211243,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d81a6a79-a74a-44b7-822c-0dfa3036eaed,,
ESLICARBAZEPINE ACETATE,236395-14-5,https://drugs.ncats.io/drug/BEA68ZVB2K,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""236395%2014%205"")",ONLY CAS,US Approved Rx 2023,ANDA211236,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211236,US Approved Rx 2013,NDA022416,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022416,Partial-onset seizures,Approved
ESMOLOL,81147-92-4,https://drugs.ncats.io/drug/MDY902UXSR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""81147%2092%204"")",ONLY CAS,US Approved Rx 2022,ANDA214172,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214172,US Approved Rx 1986,NDA019386,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019386,Supraventricular tachycardia; Noncompensatory sinus tachycardia,Approved; Approved
ESOMEPRAZOLE,119141-88-7,https://drugs.ncats.io/drug/N3PA6559FT,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""119141%2088%207"")",ONLY CAS,US Approved Rx 2020,ANDA212866,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212866,Possibly Marketed Outside US 1989,ANDA078003,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1f0ba9c8-e5f2-4d65-a0e3-19a6541a03b5,Heartburn,Approved
ESTAZOLAM,29975-16-4,https://drugs.ncats.io/drug/36S3EQV54C,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""29975%2016%204"")",ONLY CAS,US Approved Rx 1997,ANDA074826,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074826,US Previously Marketed 1990,PROSOM by ABBOTT,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019080,Insomnia,Approved
ESTRADIOL,17916-67-5,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""17916%2067%205"")",ONLY CAS,,,,,,,,
ESTRAMUSTINE,2998-57-4,https://drugs.ncats.io/drug/35LT29625A,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""2998%2057%204"")",ONLY CAS,US Approved Rx 1981,NDA018045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018045,US Approved Rx 1981,NDA018045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018045,Carcinoma of the prostate,Approved
ESTRIOL,50-27-1,https://drugs.ncats.io/drug/FB33469R8E,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""50%2027%201"")",ONLY CAS,Possibly Marketed Outside US ,WHO-ATC:G03CA04,https://ginas.ncats.nih.gov/ginas/app/substance/FB33469R8E,Possibly Marketed Outside US 2012,NADA141325,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9b6e29b3-7286-4408-9a44-7d8589d1d958,Urinary tract infections; Atrophic vaginitis; Genital prolapse,Phase IV; Phase III; Phase IV
ESTROGENIC SUBSTANCE,53-16-7,https://drugs.ncats.io/drug/2DI9HA706A,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""53%2016%207"")",ONLY CAS,US Approved Rx 1977,ANDA083220,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083220,US Previously Marketed 1931,Theelin by Parke Davis,https://en.wikipedia.org/wiki/Estrone_(medication),Endometrial hyperplasia/carcinoma; Menopausal and postmenopausal disorder; Ovarian diseases; Precocious puberty; Amenorrhea; Infertility; Breast cancer; Prostate cancer; Obesity; Endometrial cancer; Benign breast disease; Premenstrual syndrome; Menopausal and postmenopausal disorders,Approved; Approved; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Phase III; Approved
ESTROGENIC SUBSTANCES- CONJUGATED,12126-59-9,https://drugs.ncats.io/drug/IU5QR144QX,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""12126%2059%209"")",ONLY CAS,US Approved Rx 2003,NDA021417,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021417,US Approved Rx 1942,NDA004782,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=004782,,
ESTRONE,53-16-7,https://drugs.ncats.io/drug/2DI9HA706A,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""53%2016%207"")",ONLY CAS,US Approved Rx 1977,ANDA083220,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083220,US Previously Marketed 1931,Theelin by Parke Davis,https://en.wikipedia.org/wiki/Estrone_(medication),Endometrial hyperplasia/carcinoma; Menopausal and postmenopausal disorder; Ovarian diseases; Precocious puberty; Amenorrhea; Infertility; Breast cancer; Prostate cancer; Obesity; Endometrial cancer; Benign breast disease; Premenstrual syndrome; Menopausal and postmenopausal disorders,Approved; Approved; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Phase III; Approved
ESZOPICLONE,138729-47-2,https://drugs.ncats.io/drug/UZX80K71OE,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""138729%2047%202"")",ONLY CAS,US Approved Rx 2015,ANDA202929,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202929,US Approved Rx 2004,NDA021476,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021476,Insomnia,Approved
ETACRYNIC ACID,58-54-8,https://drugs.ncats.io/drug/M5DP350VZV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""58%2054%208"")",ONLY CAS,US Approved Rx 2019,ANDA211232,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211232,US Approved Rx 1967,NDA016093,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016093,Nephrotic syndrome; Congestive heart failure,Approved; Approved
ETANERCEPT,185243-69-0,https://drugs.ncats.io/drug/OP401G7OJC,7,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""185243%2069%200"")%20AND%20(root_names_name:""%5EETANERCEPT$"")",EXACT NAME,US Approved Rx 1998,BLA103795,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103795,US Approved Rx 1998,BLA103795,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103795,,
ETELCALCETIDE,1262780-97-1,https://drugs.ncats.io/drug/60ME133FJB,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1262780%2097%201"")",ONLY CAS,US Approved Rx 2017,NDA208325,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208325,US Approved Rx 2017,NDA208325,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208325,Secondary hyperparathyroidism in adult patients with chronic kidney disease on hemodialysis,Approved
ETEPLIRSEN,1173755-55-9,https://drugs.ncats.io/drug/AIW6036FAS,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1173755%2055%209"")",ONLY CAS,US Approved Rx 2016,NDA206488,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206488,US Approved Rx 2016,NDA206488,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206488,,
ETHAMBUTOL,74-55-5,https://drugs.ncats.io/drug/8G167061QZ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""74%2055%205"")",ONLY CAS,US Approved Rx 1999,ANDA075095,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075095,US Approved Rx 1967,NDA016320,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016320,Pulmonary tuberculosis,Approved
ETHANOL,443-48-1,https://drugs.ncats.io/drug/140QMO216E,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""443%2048%201"")",ONLY CAS,US Approved Rx 2016,ANDA208162,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208162,US Previously Marketed 1963,FLAGYL by PFIZER,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012623,Anaerobic bacterial infections; Trichomoniasis; Acute intestinal amebiasis,Approved; Approved; Approved
ETHANOLAMINE,141-43-5,https://drugs.ncats.io/drug/5KV86114PT,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""141%2043%205"")",ONLY CAS,Possibly Marketed Outside US 2008,NDA022032,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b6c87a6a-253a-4455-9b7d-62f506da592e,Possibly Marketed Outside US 1980,NADA113232,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d14180ed-329c-464a-a9ac-b7bbf3d59536,Myocardial ischemia,Preclinical
ETHCHLORVYNOL,113-18-8,https://drugs.ncats.io/drug/6EIM3851UZ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""113%2018%208"")",ONLY CAS,US Previously Marketed 1961,PLACIDYL by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010021,US Previously Marketed 1955,Placidyl by Abbott,OB NME Appendix 1950-1985,Insomnia,Approved
ETHINYLESTRADIOL,57-63-6,https://drugs.ncats.io/drug/423D2T571U,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""57%2063%206"")",ONLY CAS,US Approved Rx 1992,ANDA072693,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=072693,US Previously Marketed 1943,ESTINYL by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005292,Pregnancy,Approved
ETHIONAMIDE,536-33-4,https://drugs.ncats.io/drug/OAY8ORS3CQ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""536%2033%204"")",ONLY CAS,US Approved Rx 1965,NDA013026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013026,US Approved Rx 1965,NDA013026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013026,Tuberculosis,Approved
